,Weather_key,is_day,temperature,sunset,sunrise,precipitation
1659,1659,0,14.3,2018-10-07T17:47,2018-10-07T06:22,4.4
1660,1660,1,-3.9,2018-11-14T16:53,2018-11-14T07:11,0.0
1661,1661,1,-0.3,2019-03-18T18:26,2019-03-18T06:24,0.0
1662,1662,0,-0.5,2019-01-24T17:17,2019-01-24T07:42,0.3
1663,1663,0,5.4,2019-05-02T19:21,2019-05-02T05:09,0.0
1664,1664,0,11.5,2018-10-08T17:46,2018-10-08T06:23,0.0
1665,1665,0,8.7,2019-06-11T19:59,2019-06-11T04:35,0.0
1666,1666,1,27.4,2019-08-13T19:24,2019-08-13T05:19,0.0
1667,1667,1,9.7,2019-05-02T19:20,2019-05-02T05:07,0.0
1668,1668,1,27.6,2019-07-19T19:55,2019-07-19T04:53,0.0
1669,1669,0,-4.2,2018-12-09T16:41,2018-12-09T07:40,0.0
1670,1670,1,4.3,2019-03-18T18:26,2019-03-18T06:24,0.0
1671,1671,0,-11.3,2019-01-26T17:19,2019-01-26T07:40,0.0
1672,1672,1,-0.1,2018-12-09T16:40,2018-12-09T07:39,0.0
1673,1673,1,16.1,2019-06-12T19:59,2019-06-12T04:36,0.0
1674,1674,1,24.4,2019-08-13T19:24,2019-08-13T05:19,0.0
1675,1675,0,15.7,2018-10-08T17:46,2018-10-08T06:23,0.0
1676,1676,1,-6.6,2019-01-29T17:23,2019-01-29T07:37,0.0
1677,1677,1,9.1,2019-05-02T19:21,2019-05-02T05:09,0.0
1678,1678,1,-0.9,2018-11-14T16:52,2018-11-14T07:10,0.1
1679,1679,1,1.0,2018-12-10T16:39,2018-12-10T07:40,0.0
1680,1680,0,-1.4,2019-03-18T18:26,2019-03-18T06:24,0.0
1681,1681,1,1.1,2018-11-16T16:51,2018-11-16T07:13,0.3
1682,1682,1,5.2,2019-05-02T19:20,2019-05-02T05:08,0.0
1683,1683,1,15.9,2019-06-13T20:00,2019-06-13T04:35,0.0
1684,1684,0,1.4,2018-11-16T16:51,2018-11-16T07:13,0.0
1685,1685,0,-0.7,2018-12-11T16:40,2018-12-11T07:41,0.0
1686,1686,1,22.5,2018-10-10T17:43,2018-10-10T06:26,0.0
1687,1687,1,-14.2,2019-01-31T17:26,2019-01-31T07:35,0.0
1688,1688,1,7.3,2019-03-20T18:29,2019-03-20T06:21,0.0
1689,1689,1,17.0,2019-05-05T19:24,2019-05-05T05:04,0.0
1690,1690,1,16.4,2019-06-13T19:59,2019-06-13T04:34,0.1
1691,1691,0,-3.1,2018-11-18T16:49,2018-11-18T07:15,0.0
1692,1692,0,-18.1,2019-02-01T17:26,2019-02-01T07:33,0.0
1693,1693,0,12.6,2018-10-11T17:41,2018-10-11T06:27,0.0
1694,1694,0,24.9,2019-07-20T19:53,2019-07-20T04:54,0.0
1695,1695,1,6.3,2019-03-20T18:29,2019-03-20T06:20,0.0
1696,1696,1,24.1,2019-08-14T19:23,2019-08-14T05:21,0.0
1697,1697,1,0.7,2018-12-12T16:39,2018-12-12T07:41,0.0
1698,1698,0,-2.9,2018-11-19T16:47,2018-11-19T07:17,0.0
1699,1699,0,24.9,2019-07-20T19:53,2019-07-20T04:54,0.0
1700,1700,0,17.3,2019-06-15T20:00,2019-06-15T04:35,0.2
1701,1701,1,9.6,2018-10-12T17:39,2018-10-12T06:28,0.0
1702,1702,1,17.1,2019-05-05T19:25,2019-05-05T05:05,0.0
1703,1703,1,0.6,2018-12-12T16:40,2018-12-12T07:42,0.0
1704,1704,0,-6.5,2019-03-23T18:33,2019-03-23T06:15,0.0
1705,1705,0,-1.0,2019-02-02T17:28,2019-02-02T07:32,0.1
1706,1706,1,20.8,2019-05-06T19:25,2019-05-06T05:03,0.0
1707,1707,0,26.0,2019-07-20T19:53,2019-07-20T04:53,0.0
1708,1708,1,17.0,2019-08-15T19:21,2019-08-15T05:22,0.0
1709,1709,1,16.9,2019-06-16T20:01,2019-06-16T04:36,0.0
1710,1710,1,9.4,2018-10-12T17:39,2018-10-12T06:28,0.0
1711,1711,1,-0.4,2018-11-19T16:48,2018-11-19T07:16,0.0
1712,1712,0,-0.4,2019-02-03T17:30,2019-02-03T07:31,0.2
1713,1713,0,0.2,2018-12-12T16:40,2018-12-12T07:42,0.0
1714,1714,1,1.3,2019-03-23T18:33,2019-03-23T06:16,0.0
1715,1715,1,3.9,2018-11-19T16:48,2018-11-19T07:17,0.0
1716,1716,0,8.1,2019-05-07T19:26,2019-05-07T05:01,0.2
1717,1717,1,20.3,2019-06-18T20:02,2019-06-18T04:36,0.0
1718,1718,1,7.6,2018-10-13T17:37,2018-10-13T06:29,0.0
1719,1719,1,22.8,2019-08-17T19:18,2019-08-17T05:23,0.2
1720,1720,0,0.9,2018-11-19T16:48,2018-11-19T07:17,0.0
1721,1721,1,13.1,2018-10-15T17:34,2018-10-15T06:32,0.5
1722,1722,0,14.4,2019-05-10T19:29,2019-05-10T04:57,1.2
1723,1723,0,0.8,2019-03-23T18:32,2019-03-23T06:15,0.0
1724,1724,0,19.5,2019-07-22T19:51,2019-07-22T04:56,0.0
1725,1725,0,1.7,2018-12-13T16:40,2018-12-13T07:42,0.0
1726,1726,0,-0.4,2019-03-24T18:34,2019-03-24T06:13,0.0
1727,1727,1,23.4,2019-06-18T20:02,2019-06-18T04:36,0.0
1728,1728,1,16.0,2019-07-24T19:49,2019-07-24T04:57,0.0
1729,1729,1,3.7,2019-02-04T17:32,2019-02-04T07:30,0.0
1730,1730,1,16.2,2019-06-19T20:01,2019-06-19T04:35,0.0
1731,1731,0,-0.7,2018-11-20T16:47,2018-11-20T07:17,0.0
1732,1732,0,18.9,2019-08-17T19:18,2019-08-17T05:23,0.0
1733,1733,1,2.6,2018-10-18T17:29,2018-10-18T06:35,0.0
1734,1734,1,-1.0,2018-11-20T16:48,2018-11-20T07:18,0.0
1735,1735,0,6.0,2019-05-10T19:29,2019-05-10T04:57,0.0
1736,1736,1,27.7,2019-07-25T19:49,2019-07-25T04:58,0.0
1737,1737,0,0.0,2018-12-15T16:41,2018-12-15T07:45,0.0
1738,1738,1,5.8,2018-10-18T17:29,2018-10-18T06:35,0.0
1739,1739,1,26.7,2019-08-19T19:15,2019-08-19T05:26,0.0
1740,1740,0,-1.7,2018-11-20T16:48,2018-11-20T07:18,0.0
1741,1741,0,7.8,2019-02-04T17:31,2019-02-04T07:30,0.0
1742,1742,0,4.8,2018-10-18T17:29,2018-10-18T06:35,0.0
1743,1743,1,-3.6,2018-11-21T16:47,2018-11-21T07:20,0.0
1744,1744,0,19.7,2019-08-19T19:15,2019-08-19T05:25,0.0
1745,1745,0,-6.7,2018-12-18T16:42,2018-12-18T07:46,0.0
1746,1746,1,21.9,2019-06-20T20:02,2019-06-20T04:35,0.1
1747,1747,0,-3.8,2019-03-25T18:35,2019-03-25T06:11,0.0
1748,1748,1,26.3,2019-07-25T19:49,2019-07-25T04:59,0.0
1749,1749,0,6.2,2018-10-19T17:28,2018-10-19T06:37,0.0
1750,1750,1,18.4,2019-06-20T20:02,2019-06-20T04:35,0.5
1751,1751,0,5.8,2019-05-12T19:32,2019-05-12T04:56,0.4
1752,1752,1,-0.1,2019-03-26T18:36,2019-03-26T06:09,0.0
1753,1753,0,-7.3,2018-11-21T16:46,2018-11-21T07:19,0.0
1754,1754,0,19.4,2019-07-25T19:48,2019-07-25T04:57,0.0
1755,1755,0,11.3,2018-10-19T17:28,2018-10-19T06:37,0.0
1756,1756,1,15.3,2019-05-15T19:35,2019-05-15T04:52,0.3
1757,1757,0,1.0,2018-12-19T16:41,2018-12-19T07:47,0.0
1758,1758,1,25.1,2019-08-20T19:13,2019-08-20T05:26,0.1
1759,1759,0,1.4,2019-03-29T18:40,2019-03-29T06:04,0.0
1760,1760,1,27.8,2019-07-26T19:48,2019-07-26T05:01,0.0
1761,1761,1,-11.8,2018-11-22T16:45,2018-11-22T07:20,0.0
1762,1762,0,17.4,2019-06-20T20:02,2019-06-20T04:35,0.7
1763,1763,0,-5.1,2019-02-06T17:35,2019-02-06T07:28,0.0
1764,1764,0,4.1,2019-03-29T18:40,2019-03-29T06:04,0.0
1765,1765,1,26.2,2019-08-20T19:14,2019-08-20T05:27,0.0
1766,1766,0,11.7,2018-10-19T17:27,2018-10-19T06:36,0.0
1767,1767,1,22.0,2019-06-21T20:03,2019-06-21T04:36,0.1
1768,1768,0,2.6,2019-03-30T18:41,2019-03-30T06:02,0.2
1769,1769,0,11.4,2019-05-17T19:37,2019-05-17T04:50,0.0
1770,1770,0,4.7,2018-12-21T16:42,2018-12-21T07:47,0.5
1771,1771,1,-0.9,2019-02-07T17:35,2019-02-07T07:26,0.1
1772,1772,0,22.5,2019-08-20T19:14,2019-08-20T05:27,0.0
1773,1773,1,26.8,2019-07-26T19:47,2019-07-26T04:59,0.0
1774,1774,1,21.4,2019-06-22T20:02,2019-06-22T04:35,0.0
1775,1775,1,24.4,2019-08-21T19:12,2019-08-21T05:28,0.0
1776,1776,1,-2.5,2019-04-01T18:43,2019-04-01T05:58,0.0
1777,1777,0,0.6,2018-11-23T16:45,2018-11-23T07:21,0.0
1778,1778,1,5.5,2018-10-21T17:24,2018-10-21T06:39,0.0
1779,1779,0,-1.6,2018-12-22T16:44,2018-12-22T07:48,0.0
1780,1780,1,18.0,2019-05-19T19:39,2019-05-19T04:48,0.0
1781,1781,0,4.2,2018-11-24T16:44,2018-11-24T07:23,0.5
1782,1782,1,5.3,2018-10-22T17:22,2018-10-22T06:40,0.0
1783,1783,1,19.0,2019-08-22T19:11,2019-08-22T05:30,0.0
1784,1784,0,21.8,2019-07-26T19:47,2019-07-26T04:59,0.0
1785,1785,0,-1.1,2019-04-01T18:43,2019-04-01T05:58,0.0
1786,1786,0,2.6,2019-02-08T17:37,2019-02-08T07:25,0.0
1787,1787,1,-0.4,2018-12-22T16:44,2018-12-22T07:48,0.0
1788,1788,0,-1.9,2019-04-02T18:45,2019-04-02T05:57,0.0
1789,1789,1,18.3,2019-05-20T19:40,2019-05-20T04:47,0.0
1790,1790,1,25.1,2019-08-22T19:10,2019-08-22T05:30,0.0
1791,1791,0,8.0,2018-10-22T17:23,2018-10-22T06:41,0.0
1792,1792,0,4.6,2018-11-24T16:45,2018-11-24T07:23,0.7
1793,1793,1,21.1,2019-06-25T20:03,2019-06-25T04:36,0.0
1794,1794,1,6.2,2018-10-24T17:19,2018-10-24T06:43,0.0
1795,1795,1,6.7,2019-04-06T18:49,2019-04-06T05:49,0.0
1796,1796,1,15.9,2019-05-21T19:41,2019-05-21T04:46,0.0
1797,1797,0,5.1,2018-11-25T16:43,2018-11-25T07:24,0.0
