,Sub_Dem_key,Place_name,Population,Population_density_persqm,Pop_perc_over_65,neighborhood_name
1898,1898,Toronto,0,0,0,Corso Italia-Davenport
1899,1899,Toronto,0,0,0,Yonge-Bay Corridor
1900,1900,Toronto,0,0,0,Bathurst Manor
1901,1901,Etobicoke,0,0,0,West Humber-Clairville
1902,1902,Toronto,0,0,0,Yonge-Bay Corridor
1903,1903,Scarborough,0,0,0,Milliken
1904,1904,York,0,0,0,Rockcliffe-Smythe
1905,1905,Scarborough,0,0,0,Cliffcrest
1906,1906,Scarborough,0,0,0,Wexford/Maryvale
1907,1907,Toronto,0,0,0,Leaside-Bennington
1908,1908,Scarborough,0,0,0,Agincourt North
1909,1909,Toronto,0,0,0,Woodbine Corridor
1910,1910,York,0,0,0,Mount Dennis
1911,1911,Toronto,0,0,0,North Riverdale
1912,1912,Toronto,0,0,0,Lawrence Park South
1913,1913,Scarborough,0,0,0,Wexford/Maryvale
1914,1914,Etobicoke,0,0,0,West Humber-Clairville
1915,1915,Toronto,0,0,0,Black Creek
1916,1916,Toronto,0,0,0,Wychwood
1917,1917,Scarborough,0,0,0,Milliken
1918,1918,Scarborough,0,0,0,Dorset Park
1919,1919,Toronto,0,0,0,Junction-Wallace Emerson
1920,1920,Toronto,0,0,0,Oakdale-Beverley Heights
1921,1921,Scarborough,0,0,0,Cliffcrest
1922,1922,Toronto,0,0,0,Thorncliffe Park
1923,1923,Toronto,0,0,0,Newtonbrook East
1924,1924,Toronto,0,0,0,Banbury-Don Mills
1925,1925,Scarborough,0,0,0,Clairlea-Birchmount
1926,1926,Etobicoke,0,0,0,Markland Wood
1927,1927,Scarborough,0,0,0,Highland Creek
1928,1928,Toronto,0,0,0,Harbourfront-CityPlace
1929,1929,Scarborough,0,0,0,Wexford/Maryvale
1930,1930,Toronto,0,0,0,Humber Summit
1931,1931,Toronto,0,0,0,Flemingdon Park
1932,1932,Toronto,0,0,0,Downtown Yonge East
1933,1933,Scarborough,0,0,0,Wexford/Maryvale
1934,1934,York,0,0,0,Rockcliffe-Smythe
1935,1935,Scarborough,0,0,0,Dorset Park
1936,1936,Toronto,0,0,0,Moss Park
1937,1937,Scarborough,0,0,0,Milliken
1938,1938,Scarborough,0,0,0,Malvern West
1939,1939,Toronto,0,0,0,York University Heights
1940,1940,Scarborough,0,0,0,Wexford/Maryvale
1941,1941,Toronto,0,0,0,Thorncliffe Park
1942,1942,Toronto,0,0,0,Casa Loma
1943,1943,Scarborough,0,0,0,Oakridge
1944,1944,Toronto,0,0,0,South Riverdale
1945,1945,Toronto,0,0,0,North Riverdale
1946,1946,York,0,0,0,Oakwood Village
1947,1947,North York,0,0,0,Lansing-Westgate
1948,1948,Toronto,0,0,0,Englemount-Lawrence
1949,1949,Toronto,0,0,0,Clairlea-Birchmount
1950,1950,Toronto,0,0,0,Harbourfront-CityPlace
1951,1951,Etobicoke,0,0,0,West Humber-Clairville
1952,1952,Toronto,0,0,0,Don Valley Village
1953,1953,Toronto,0,0,0,Milliken
1954,1954,Etobicoke,0,0,0,Stonegate-Queensway
1955,1955,Toronto,0,0,0,Downsview
1956,1956,Toronto,0,0,0,Englemount-Lawrence
1957,1957,York,0,0,0,Keelesdale-Eglinton West
1958,1958,Toronto,0,0,0,Banbury-Don Mills
1959,1959,Scarborough,0,0,0,Dorset Park
1960,1960,Scarborough,0,0,0,Bendale South
1961,1961,Toronto,0,0,0,Mount Pleasant East
1962,1962,Etobicoke,0,0,0,Kingsway South
1963,1963,Etobicoke,0,0,0,Humber Bay Shores
1964,1964,Scarborough,0,0,0,Morningside
1965,1965,Scarborough,0,0,0,Woburn North
1966,1966,Toronto,0,0,0,Leaside-Bennington
1967,1967,Toronto,0,0,0,Downtown Yonge East
1968,1968,Toronto,0,0,0,Little Portugal
1969,1969,Scarborough,0,0,0,Clairlea-Birchmount
1970,1970,Etobicoke,0,0,0,West Humber-Clairville
1971,1971,Toronto,0,0,0,Playter Estates-Danforth
1972,1972,Toronto,0,0,0,Harbourfront-CityPlace
1973,1973,York,0,0,0,Mount Dennis
1974,1974,Toronto,0,0,0,Corso Italia-Davenport
1975,1975,Toronto,0,0,0,Harbourfront-CityPlace
1976,1976,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
1977,1977,Scarborough,0,0,0,Malvern West
1978,1978,Scarborough,0,0,0,West Hill
1979,1979,Toronto,0,0,0,Bayview Village
1980,1980,Etobicoke,0,0,0,Etobicoke City Centre
1981,1981,Etobicoke,0,0,0,West Humber-Clairville
1982,1982,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
1983,1983,Etobicoke,0,0,0,Edenbridge-Humber Valley
1984,1984,Toronto,0,0,0,York University Heights
1985,1985,York,0,0,0,Oakwood Village
1986,1986,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
1987,1987,Scarborough,0,0,0,West Hill
1988,1988,Scarborough,0,0,0,Highland Creek
1989,1989,York,0,0,0,Lambton Baby Point
1990,1990,Toronto,0,0,0,Banbury-Don Mills
1991,1991,Toronto,0,0,0,Downsview
1992,1992,Etobicoke,0,0,0,New Toronto
1993,1993,Toronto,0,0,0,Blake-Jones
1994,1994,Toronto,0,0,0,Downtown Yonge East
1995,1995,Toronto,0,0,0,Wychwood
1996,1996,Toronto,0,0,0,Brookhaven-Amesbury
1997,1997,Scarborough,0,0,0,Clairlea-Birchmount
1998,1998,Toronto,0,0,0,Oakdale-Beverley Heights
1999,1999,Toronto,0,0,0,Bedford Park-Nortown
2000,2000,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
2001,2001,Toronto,0,0,0,Newtonbrook East
2002,2002,Etobicoke,0,0,0,Long Branch
2003,2003,Toronto,0,0,0,Black Creek
2004,2004,Toronto,0,0,0,Glenfield-Jane Heights
2005,2005,Toronto,0,0,0,Banbury-Don Mills
2006,2006,Scarborough,0,0,0,L'Amoreaux West
2007,2007,Toronto,0,0,0,Weston-Pelham Park
2008,2008,Toronto,0,0,0,Moss Park
2009,2009,North York,0,0,0,Yonge-Doris
2010,2010,Etobicoke,0,0,0,West Humber-Clairville
2011,2011,Toronto,0,0,0,Oakdale-Beverley Heights
2012,2012,Scarborough,0,0,0,Birchcliffe-Cliffside
2013,2013,Toronto,0,0,0,York University Heights
2014,2014,Toronto,0,0,0,East End-Danforth
2015,2015,Etobicoke,0,0,0,Stonegate-Queensway
2016,2016,Etobicoke,0,0,0,Edenbridge-Humber Valley
2017,2017,Toronto,0,0,0,East End-Danforth
2018,2018,York,0,0,0,Rockcliffe-Smythe
2019,2019,Scarborough,0,0,0,Clairlea-Birchmount
2020,2020,Toronto,0,0,0,Wychwood
2021,2021,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
2022,2022,Toronto,0,0,0,South Riverdale
2023,2023,Scarborough,0,0,0,Cliffcrest
2024,2024,Scarborough,0,0,0,West Hill
2025,2025,Scarborough,0,0,0,Agincourt South-Malvern West
2026,2026,Toronto,0,0,0,Newtonbrook East
2027,2027,Toronto,0,0,0,North Riverdale
2028,2028,Toronto,0,0,0,Victoria Village
2029,2029,Scarborough,0,0,0,Steeles
2030,2030,Toronto,0,0,0,Yonge-Eglinton
2031,2031,Etobicoke,0,0,0,Humber Bay Shores
2032,2032,Toronto,0,0,0,Brookhaven-Amesbury
2033,2033,Etobicoke,0,0,0,Mount Olive-Silverstone-Jamestown
2034,2034,Etobicoke,0,0,0,Rexdale-Kipling
2035,2035,Toronto,0,0,0,Downsview
2036,2036,Toronto,0,0,0,South Eglinton-Davisville
2037,2037,Scarborough,0,0,0,West Hill
2038,2038,Toronto,0,0,0,Downsview
2039,2039,Scarborough,0,0,0,Dorset Park
2040,2040,Toronto,0,0,0,Moss Park
2041,2041,Toronto,0,0,0,Trinity-Bellwoods
2042,2042,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
2043,2043,Toronto,0,0,0,Roncesvalles
2044,2044,Toronto,0,0,0,Thorncliffe Park
2045,2045,Etobicoke,0,0,0,Stonegate-Queensway
2046,2046,Toronto,0,0,0,Harbourfront-CityPlace
2047,2047,Scarborough,0,0,0,Guildwood
2048,2048,Scarborough,0,0,0,Malvern West
2049,2049,Scarborough,0,0,0,West Hill
2050,2050,Scarborough,0,0,0,Scarborough Village
2051,2051,Etobicoke,0,0,0,Eringate-Centennial-West Deane
2052,2052,Toronto,0,0,0,South Riverdale
2053,2053,Scarborough,0,0,0,Dorset Park
2054,2054,Etobicoke,0,0,0,Markland Wood
2055,2055,Toronto,0,0,0,Yonge-Bay Corridor
2056,2056,Toronto,0,0,0,Humber Summit
2057,2057,Toronto,0,0,0,South Eglinton-Davisville
2058,2058,Scarborough,0,0,0,Golfdale-Cedarbrae-Woburn
2059,2059,Etobicoke,0,0,0,Eringate-Centennial-West Deane
2060,2060,Toronto,0,0,0,Bedford Park-Nortown
2061,2061,Scarborough,0,0,0,L'Amoreaux West
2062,2062,Toronto,0,0,0,Harbourfront-CityPlace
2063,2063,Toronto,0,0,0,Palmerston-Little Italy
2064,2064,Toronto,0,0,0,Downsview
2065,2065,Toronto,0,0,0,Brookhaven-Amesbury
2066,2066,Toronto,0,0,0,Clanton Park
2067,2067,Toronto,0,0,0,Dufferin Grove
2068,2068,Toronto,0,0,0,East End-Danforth
2069,2069,Scarborough,0,0,0,Cliffcrest
2070,2070,Toronto,0,0,0,Englemount-Lawrence
2071,2071,Toronto,0,0,0,South Parkdale
2072,2072,Toronto,0,0,0,Moss Park
2073,2073,Etobicoke,0,0,0,Kingsway South
2074,2074,Toronto,0,0,0,East End-Danforth
2075,2075,Toronto,0,0,0,Lawrence Park South
2076,2076,Toronto,0,0,0,Little Portugal
2077,2077,Toronto,0,0,0,Weston-Pelham Park
2078,2078,Toronto,0,0,0,Junction Area
2079,2079,Toronto,0,0,0,Blake-Jones
2080,2080,Scarborough,0,0,0,Eglinton East
2081,2081,Etobicoke,0,0,0,Edenbridge-Humber Valley
2082,2082,Toronto,0,0,0,Newtonbrook West
2083,2083,Scarborough,0,0,0,Tam O'Shanter-Sullivan
2084,2084,Toronto,0,0,0,Broadview North
2085,2085,Toronto,0,0,0,Humber Summit
2086,2086,Toronto,0,0,0,Oakdale-Beverley Heights
2087,2087,Toronto,0,0,0,Pleasant View
2088,2088,Toronto,0,0,0,Flemingdon Park
2089,2089,Toronto,0,0,0,Harbourfront-CityPlace
2090,2090,Toronto,0,0,0,High Park-Swansea
2091,2091,Toronto,0,0,0,South Eglinton-Davisville
2092,2092,Etobicoke,0,0,0,Stonegate-Queensway
2093,2093,Scarborough,0,0,0,West Hill
2094,2094,Toronto,0,0,0,West Queen West
2095,2095,York,0,0,0,Rockcliffe-Smythe
2096,2096,Toronto,0,0,0,High Park-Swansea
2097,2097,Toronto,0,0,0,Junction-Wallace Emerson
2098,2098,Scarborough,0,0,0,Birchcliffe-Cliffside
2099,2099,Scarborough,0,0,0,Cliffcrest
2100,2100,Scarborough,0,0,0,Woburn North
2101,2101,Toronto,0,0,0,Clanton Park
2102,2102,Etobicoke,0,0,0,Mimico-Queensway
2103,2103,Scarborough,0,0,0,Milliken
2104,2104,Toronto,0,0,0,Dovercourt Village
2105,2105,Toronto,0,0,0,Kensington-Chinatown
2106,2106,Etobicoke,0,0,0,Stonegate-Queensway
2107,2107,Scarborough,0,0,0,Woburn North
2108,2108,Etobicoke,0,0,0,Alderwood
2109,2109,Toronto,0,0,0,Downtown Yonge East
2110,2110,Scarborough,0,0,0,Cliffcrest
2111,2111,Scarborough,0,0,0,Wexford/Maryvale
2112,2112,Scarborough,0,0,0,Malvern West
2113,2113,York,0,0,0,Oakwood Village
2114,2114,Etobicoke,0,0,0,Islington
2115,2115,Scarborough,0,0,0,Clairlea-Birchmount
2116,2116,Toronto,0,0,0,St Lawrence-East Bayfront-The Islands
2117,2117,Toronto,0,0,0,Yorkdale-Glen Park
2118,2118,Etobicoke,0,0,0,Willowridge-Martingrove-Richview
2119,2119,Toronto,0,0,0,Downtown Yonge East
2120,2120,Scarborough,0,0,0,Morningside Heights
2121,2121,Toronto,0,0,0,Newtonbrook West
2122,2122,Scarborough,0,0,0,Dorset Park
2123,2123,Toronto,0,0,0,Moss Park
2124,2124,Scarborough,0,0,0,Clairlea-Birchmount
2125,2125,Toronto,0,0,0,Downsview
2126,2126,York,0,0,0,Forest Hill South
2127,2127,Toronto,0,0,0,Moss Park
2128,2128,Scarborough,0,0,0,Clairlea-Birchmount
2129,2129,Etobicoke,0,0,0,Mimico-Queensway
2130,2130,Toronto,0,0,0,North St.James Town
2131,2131,Toronto,0,0,0,South Riverdale
2132,2132,Toronto,0,0,0,Avondale
2133,2133,Scarborough,0,0,0,Cliffcrest
2134,2134,Scarborough,0,0,0,Eglinton East
2135,2135,Toronto,0,0,0,Dufferin Grove
2136,2136,Toronto,0,0,0,Broadview North
2137,2137,Toronto,0,0,0,Kensington-Chinatown
2138,2138,Etobicoke,0,0,0,Kingsway South
2139,2139,Toronto,0,0,0,Glenfield-Jane Heights
2140,2140,Scarborough,0,0,0,Tam O'Shanter-Sullivan
2141,2141,Toronto,0,0,0,Bedford Park-Nortown
2142,2142,Toronto,0,0,0,Bay-Cloverhill
2143,2143,Scarborough,0,0,0,West Hill
2144,2144,Toronto,0,0,0,Humber Summit
2145,2145,York,0,0,0,Caledonia-Fairbank
2146,2146,Scarborough,0,0,0,Scarborough Village
2147,2147,Toronto,0,0,0,Church-Wellesley
2148,2148,Toronto,0,0,0,Regent Park
2149,2149,Toronto,0,0,0,Downtown Yonge East
2150,2150,Toronto,0,0,0,South Riverdale
2151,2151,Toronto,0,0,0,Broadview North
2152,2152,Etobicoke,0,0,0,West Humber-Clairville
2153,2153,Toronto,0,0,0,South Riverdale
2154,2154,Scarborough,0,0,0,Wexford/Maryvale
2155,2155,Toronto,0,0,0,Church-Wellesley
2156,2156,Scarborough,0,0,0,Agincourt South-Malvern West
2157,2157,Etobicoke,0,0,0,Mount Olive-Silverstone-Jamestown
2158,2158,Toronto,0,0,0,Corso Italia-Davenport
2159,2159,Toronto,0,0,0,Bathurst Manor
2160,2160,Scarborough,0,0,0,Morningside Heights
2161,2161,Scarborough,0,0,0,Wexford/Maryvale
2162,2162,Toronto,0,0,0,Oakdale-Beverley Heights
